T_s,delta_m,jerk_integral,rms_jerk_mps3,target_error_m,min_gap_m,min_margin_m,min_speed_mps,max_speed_mps,min_accel_mps2,max_accel_mps2,max_abs_jerk_mps3,feasible
2.25,-10.0,421.3991769547308,13.685339714124435,-9.999999999999972,47.77777777777778,2.2514612408987347,17.44000000000002,25.0,-8.756075451043763,4.331384093019069,35.55555555555549,False
2.25,-9.0,293.4186861758913,11.419645570991369,-8.999999999999979,47.53603628122846,2.2055516860832087,18.194249764739187,25.0,-7.63897851089752,3.223752474049857,30.28806584362135,False
2.25,-8.0,190.40999847584217,9.199275296960256,-8.0,47.20605550210517,2.1391493273624014,18.90661090382276,25.0,-6.533229797427602,2.136347778666872,25.020576131687214,False
2.25,-7.0,112.37311385459569,7.067079039999347,-6.999999999999986,46.726392505861135,2.0350955079900466,19.533527696793016,25.0,-5.44963361971999,1.0958921231213554,19.753086419753057,False
2.25,-6.0,59.30803231214712,5.1341138935619055,-6.0,45.98530412504522,1.8514591180160276,19.951448945531787,25.0,-4.418509954936564,0.21075190102466948,14.485596707818916,False
2.25,-5.0,31.21475384849871,3.724677695139016,-4.999999999999993,44.99999999999999,1.4671999999999992,20.000000000000007,25.0,-3.560427298217063,3.552713678800501e-15,9.218106995884765,False
2.25,-4.0,28.093278463648822,3.533539519999667,-4.0,44.0,0.5925925925925932,20.0,25.0,-3.4213349285311145,1.7763568394002505e-15,7.901234567901233,False
2.25,-3.0,49.94360615759777,4.711386026666216,-3.0,43.0,-0.829316227743957,20.0,25.008765339343853,-4.178181485456863,0.06431555340911409,13.168724279835377,False
2.25,-2.0,96.76573693034504,6.557971804701852,-2.000000000000014,42.000000000000014,-2.4872158180427,19.99999999999999,25.334110900519995,-5.184858784301495,0.8512176639567718,18.436213991769524,False
2.25,-1.0,168.55967078189192,8.655368809958153,-1.0,41.0,-4.2294914561808845,20.000000000000007,25.925925925925924,-6.259590491621851,1.870015731676732,23.703703703703674,False
2.25,0.0,265.3254077122391,10.859208232079437,-7.105427357601002e-15,40.00000000000001,-6.008334642712169,20.0,26.62266277939747,-7.361205318403695,2.9494139351837436,28.971193415637817,False
2.25,1.0,387.0629477213825,13.115943609403743,0.9999999999999858,39.000000000000014,-7.80592757240697,19.999999999999993,27.368743213385816,-8.476053789443153,4.053242660304276,34.23868312757196,False
2.25,2.0,533.7722908093201,15.402341680685659,1.999999999999993,38.00000000000001,-9.614332778495038,20.000000000000014,28.14166497048646,-9.598368810951378,5.169303067006752,39.506172839506114,False
2.25,3.0,705.4534369760684,17.706915622949488,3.000000000000007,36.99999999999999,-11.429517617547761,20.00000000000003,28.930741052720414,-10.725303931657368,6.292350438089117,44.773662551440296,False
2.25,4.0,902.1063862216247,20.023390613331586,3.999999999999986,36.000000000000014,-13.249225830827339,20.0,29.730274889752607,-11.855294689069867,7.419760915153395,50.0411522633744,False
2.25,5.0,1123.7311385459527,22.348066170834088,4.999999999999957,35.00000000000004,-15.072099499316177,19.999999999999957,30.53695999999998,-12.987410656493287,8.550077323159934,55.30864197530853,False
2.25,6.0,1370.327693949088,24.67862497474361,5.999999999999972,34.00000000000002,-16.897273530554422,20.0,31.34874816438054,-14.12106405676783,9.68242597028536,60.57613168724269,False
2.25,7.0,1641.8960524310319,27.013544359417857,6.999999999999986,33.000000000000014,-18.72417113568789,20.0,32.16430391650774,-15.255865430734072,10.81625132079029,65.84362139917685,False
2.25,8.0,1938.4362139917446,29.35178369739313,7.999999999999986,32.000000000000014,-20.55239316927367,20.00000000000003,32.982719759579254,-16.391546548954896,11.951183320712897,71.111111111111,False
2.25,9.0,2259.948178631319,31.692608171701973,8.999999999999986,31.000000000000007,-22.381654727758182,20.00000000000003,33.803357650847076,-17.527916669785508,13.08696598025416,76.37860082304515,False
2.25,10.0,2606.431946349622,34.035484400513674,10.000000000000014,29.99999999999998,-24.211747057393193,20.000000000000057,34.62575600668474,-18.664836454113292,14.223416584338059,81.6460905349793,False
2.5,-20.0,1966.0799999999904,28.043394944264435,-19.99999999999997,48.52341392106261,2.3724628709094646,10.168411470186648,25.0,-17.054225525704112,13.05685537448784,67.19999999999989,False
2.5,-19.0,1733.8367999999878,26.3350473703769,-19.0,48.471965239103376,2.364509088317939,10.908983571312147,25.0,-16.13320381923808,12.136189874360637,63.359999999999914,False
2.5,-18.0,1516.3391999999806,24.6279451030733,-18.0,48.41501195884746,2.355498738616606,11.648237244388305,25.0,-15.212553430850884,11.215973286532964,59.51999999999991,False
