t_s,position_m,speed_mps,accel_mps2,jerk_mps3,lead_position_m,gap_m,required_gap_m,margin_m
0.67,16.58671565180701,24.310336112112,-1.8175275455999977,-1.6802630399999976,63.4,46.813284348192994,46.465504168168,0.34778018002499067
0.68,16.829727857672193,24.292077289472,-1.8341904383999974,-1.6523366399999977,63.6,46.77027214232781,46.438115934208,0.3321562081198124
0.6900000000000001,17.072556646815457,24.273653232112,-1.8505747007999978,-1.6245369599999981,63.8,46.72744335318454,46.410479848168,0.31696350501653825
0.7000000000000001,17.315200380800004,24.255066720000002,-1.8666815999999977,-1.5968639999999978,64.0,46.68479961919999,46.38260008,0.30219953919998943
0.71,17.557657448925344,24.236320520432002,-1.8825124031999974,-1.5693177599999981,64.2,46.64234255107466,46.354480780648004,0.28786177042665884
0.72,17.799926268100606,24.217417388032,-1.8980683775999971,-1.541898239999998,64.4,46.6000737318994,46.326126082048,0.27394764985140085
0.73,18.042005282717792,24.198360064752002,-1.9133507903999973,-1.5146054399999984,64.6,46.5579947172822,46.29754009712801,0.2604546201541922
0.74,18.283892964525055,24.179151279872002,-1.9283609087999976,-1.4874393599999984,64.8,46.516107035474946,46.268726919808,0.2473801156669424
0.75,18.5255878125,24.15979375,-1.9430999999999974,-1.4603999999999984,65.0,46.4744121875,46.239690624999994,0.2347215625000061
0.76,18.767088352722944,24.140290179072004,-1.9575693311999975,-1.4334873599999987,65.2,46.43291164727706,46.21043526860801,0.22247637866905023
0.77,19.00839313825021,24.120643258352,-1.9717701695999974,-1.4067014399999984,65.4,46.39160686174979,46.180964887528,0.21064197422179376
0.78,19.24950074898739,24.100855666432004,-1.9857037823999975,-1.3800422399999983,65.6,46.35049925101261,46.151283499648,0.1992157513646049
0.79,19.49040979156266,24.080930069232004,-1.9993714367999973,-1.3535097599999986,65.8,46.30959020843734,46.121395103848,0.1881951045893402
0.8,19.731118899200002,24.06086912,-2.0127743999999974,-1.3271039999999985,66.0,46.2688811008,46.091303679999996,0.17757742080000583
0.81,19.971626731592544,24.040675459312002,-2.0259139391999974,-1.3008249599999986,66.2,46.22837326840746,46.061013188968005,0.16736007943945452
0.8200000000000001,20.21193197477581,24.020351715072003,-2.0387913215999975,-1.2746726399999984,66.4,46.1880680252242,46.03052757260801,0.157540452616189
0.8300000000000001,20.45203334100099,23.999900502512002,-2.051407814399997,-1.2486470399999985,66.6,46.147966658999,45.999850753768,0.14811590523100193
0.84,20.691929568608256,23.979324424192,-2.063764684799997,-1.2227481599999988,66.8,46.10807043139174,45.968986636288,0.13908379510373692
0.85,20.9316194219,23.95862607,-2.075863199999997,-1.1969759999999992,67.0,46.068380578100005,45.937939105,0.13044147310000653
0.86,21.171101691014144,23.937808017152,-2.0877046271999973,-1.171330559999999,67.2,46.02889830898586,45.906712025728,0.12218628325786085
0.87,21.410375191797407,23.916872830192002,-2.0992902335999966,-1.145811839999999,67.4,45.9896248082026,45.875309245288,0.11431556291459799
0.88,21.649438765678592,23.895823060992,-2.110621286399997,-1.1204198399999992,67.6,45.9505612343214,45.843734591488,0.10682664283339705
0.89,21.888291279541853,23.874661248752002,-2.1216990527999973,-1.095154559999999,67.8,45.911708720458144,45.811991873128,0.09971684733014285
0.9,22.1269316256,23.85338992,-2.1325247999999974,-1.0700159999999992,68.0,45.8730683744,45.780084880000004,0.09298349439999498
0.91,22.365358721267743,23.832011588592003,-2.143099795199997,-1.045004159999999,68.2,45.83464127873226,45.74801738288801,0.08662389584425512
0.92,22.603571509035007,23.810528755712003,-2.1534253055999972,-1.0201190399999986,68.4,45.796428490965,45.715793133568006,0.0806353573969929
0.93,22.841568956340193,23.788943909872,-2.163502598399997,-0.995360639999999,68.6,45.7584310436598,45.683415864808,0.07501517885179965
0.9400000000000001,23.079350055443456,23.767259526912003,-2.1733329407999973,-0.970728959999999,68.8,45.72064994455654,45.650889290368006,0.06976065418853494
0.9500000000000001,23.316913823300002,23.74547807,-2.182917599999997,-0.9462239999999993,69.0,45.6830861767,45.618217105,0.06486907170000222
0.96,23.554259301433344,23.723601989632,-2.1922578431999975,-0.9218457599999993,69.2,45.645740698566655,45.585402984448,0.06033771411865274
0.97,23.79138555580861,23.701633723632003,-2.201354937599997,-0.8975942399999994,69.4,45.608614444191396,45.55245058544801,0.05616385874338903
0.98,24.02829167670579,23.679575697152,-2.210210150399997,-0.8734694399999994,69.6,45.5717083232942,45.519363545728,0.052344777566204925
0.99,24.26497677859306,23.657430322672003,-2.2188247487999972,-0.8494713599999991,69.8,45.53502322140694,45.486145484008006,0.0488777373989322
1.0,24.501440000000002,23.635200000000005,-2.227199999999997,-0.825599999999999,70.0,45.49856,45.45280000000001,0.045759999999987144
1.01,24.737680503390948,23.612887116272002,-2.2353371711999968,-0.8018553599999991,70.2,45.462319496609055,45.419330674408,0.04298882220105327
1.02,24.97369747503821,23.590494045952003,-2.243237529599997,-0.7782374399999994,70.4,45.4263025249618,45.385741068928006,0.040561456033792354
1.03,25.209490124895396,23.568023150832,-2.250902342399997,-0.754746239999999,70.6,45.3905098751046,45.352034726248,0.038475148856598196
1.04,25.44505768647066,23.545476780032,-2.258332876799997,-0.7313817599999989,70.8,45.354942313529335,45.318215170048,0.0367271434813361
1.05,25.680399416700002,23.522857270000003,-2.2655303999999976,-0.7081439999999993,71.0,45.3196005833,45.284285905000004,0.035314678299997126
1.06,25.915514595820547,23.500166944512003,-2.272496179199997,-0.6850329599999991,71.2,45.284485404179456,45.250250416768004,0.03423498741145181
1.07,26.15040252724381,23.477408114672002,-2.2792314815999974,-0.6620486399999995,71.4,45.24959747275619,45.216112172008,0.03348530074818967
1.08,26.385062537428997,23.454583078912002,-2.285737574399997,-0.6391910399999993,71.6,45.214937462571,45.181874618368,0.03306284420300187
1.09,26.61949397575626,23.431694122992003,-2.292015724799997,-0.6164601599999996,71.8,45.18050602424374,45.147541184488006,0.03296483975573494
1.1,26.853696214400006,23.40874352,-2.298067199999997,-0.5938559999999993,72.0,45.1463037856,45.11311528,0.033188505599994755
1.11,27.08766864820215,23.385733530352002,-2.303893267199997,-0.5713785599999992,72.2,45.11233135179785,45.078600295528005,0.03373105626984341
1.12,27.321410694545413,23.362666401792,-2.3094951935999974,-0.5490278399999993,72.4,45.07858930545459,45.043999602688004,0.03458970276658846
1.1300000000000001,27.554921793226598,23.339544369392,-2.314874246399997,-0.5268038399999996,72.6,45.0450782067734,45.009316554088,0.03576165268539455
1.1400000000000001,27.78820140632986,23.316369655552002,-2.320031692799997,-0.5047065599999996,72.80000000000001,45.01179859367015,44.974554483328006,0.0372441103421437
1.1500000000000001,28.021249018100008,23.29314447,-2.324968799999997,-0.48273599999999894,73.0,44.97875098189999,44.939716705,0.03903427689999006
1.16,28.254064134815742,23.269871009792002,-2.329686835199997,-0.4608921599999999,73.2,44.94593586518426,44.904806514688005,0.04112935049625577
1.17,28.486646284663006,23.246551459312002,-2.334187065599997,-0.43917504000000007,73.4,44.913353715336996,44.869827188968,0.04352652636899279
1.18,28.718995017608194,23.223187990272002,-2.338470758399997,-0.41758464000000006,73.6,44.8810049823918,44.834781985408,0.04622299698380061
1.19,28.95110990527146,23.199782761712004,-2.342539180799997,-0.39612095999999974,73.8,44.84889009472854,44.79967414256801,0.04921595216053021
1.2,29.1829905408,23.17633792,-2.346393599999997,-0.3747840000000001,74.0,44.8170094592,44.76450688,0.05250257920000223
1.21,29.414636538741345,23.152855598832,-2.350035283199997,-0.35357376000000024,74.2,44.785363461258655,44.729283398248,0.05608006301065416
1.22,29.646047534916608,23.129337919232004,-2.353465497599997,-0.3324902400000001,74.4,44.7539524650834,44.69400687884801,0.05994558623539348
1.23,29.877223186293794,23.105786989552,-2.356685510399997,-0.3115334399999997,74.6,44.722776813706204,44.658680484328,0.0640963293782022
1.24,30.108163170861054,23.082204905472004,-2.359696588799997,-0.29070335999999997,74.8,44.69183682913894,44.62330735820801,0.0685294709309332
1.25,30.3388671875,23.058593750000004,-2.362499999999997,-0.27,75.0,44.6611328125,44.58789062500001,0.0732421874999929
1.26,30.569334955858945,23.034955593472002,-2.365097011199997,-0.24942336000000023,75.2,44.630665044141054,44.552433390208,0.07823165393305231
1.27,30.79956621622621,23.011292493552002,-2.3674888895999966,-0.22897344000000022,75.4,44.600433783773795,44.516938740328,0.08349504344579373
1.28,31.029560729403396,22.987606495232004,-2.369676902399997,-0.2086502400000004,75.6,44.570439270596594,44.48140974284801,0.08902952774858619
1.29,31.259318276578657,22.963899630832003,-2.371662316799997,-0.18845376000000033,75.8,44.54068172342134,44.445849446248005,0.09483227717333875
1.3,31.488838659200002,22.940173920000003,-2.373446399999997,-0.16838400000000048,76.0,44.5111613408,44.41026088,0.10090046079999837
1.31,31.71812169884855,22.916431369712004,-2.375030419199997,-0.1484409599999999,76.2,44.481878301151454,44.37464705456801,0.10723124658344574
1.32,31.94716723711181,22.892673974272004,-2.376415641599997,-0.12862464,76.4,44.45283276288819,44.33901096140801,0.11382180148018506
1.33,32.175975135456994,22.868903715312005,-2.377603334399997,-0.1089350400000003,76.6,44.424024864543,44.30335557296801,0.12066929157499118
1.34,32.40454527510426,22.845122561792003,-2.3785947647999968,-0.0893721599999999,76.8,44.395454724895735,44.267683842688,0.12777088220773436
1.35,32.632877556900006,22.82133247,-2.379391199999997,-0.06993600000000015,77.0,44.367122443099994,44.231998705,0.1351237380999919
1.36,32.86097190119015,22.797535383552002,-2.379993907199997,-0.050626560000000154,77.2,44.339028098809855,44.196303075328004,0.14272502348185157
1.37,33.088828247693414,22.773733233392,-2.3804041535999967,-0.03144384000000036,77.4,44.31117175230659,44.160599850088005,0.15057190221858718
1.3800000000000001,33.3164465553746,22.749927937792002,-2.3806232063999975,-0.012387840000000323,77.6,44.2835534446254,44.124891906688006,0.15866153793739102
1.3900000000000001,33.54382680231786,22.726121402352003,-2.3806523327999973,0.006541439999999512,77.80000000000001,44.25617319768215,44.089182103528,0.1669910941541488
1.4000000000000001,33.77096898560001,22.702315520000003,-2.380492799999997,0.025343999999999596,78.0,44.22903101439999,44.053473280000006,0.17555773439998745
1.41,33.99787312116374,22.678512170992,-2.380145875199997,0.04401983999999902,78.2,44.20212687883626,44.017768256488,0.18435862234826317
1.42,34.224539243691005,22.654713222912005,-2.379612825599997,0.06256895999999915,78.4,44.175460756309,43.982069834368005,0.1933909219409955
1.43,34.45096740647619,22.630920530672004,-2.3788949183999972,0.08099135999999953,78.6,44.149032593523806,43.94638079600801,0.20265179751579865
1.44,34.677157681299455,22.607135936512,-2.3779934207999975,0.09928703999999926,78.8,44.12284231870054,43.910703904768,0.21213841393254285
1.45,34.9031101583,22.583361270000005,-2.376909599999997,0.11745599999999923,79.0,44.0968898417,43.875041905,0.22184793669999436
1.46,35.128824945849345,22.559598348032004,-2.3756447231999975,0.135498239999999,79.2,44.07117505415066,43.839397522048,0.2317775321026545
1.47,35.35430217042461,22.535848974832003,-2.374200057599997,0.153413759999999,79.4,44.045697829575396,43.803773462248,0.24192436732739253
1.48,35.57954197648179,22.512114941952003,-2.372576870399997,0.1712025599999988,79.6,44.0204580235182,43.768172412928,0.2522856105901994
1.49,35.80454452632905,22.488398028272005,-2.3707764287999966,0.18886463999999886,79.8,43.995455473670944,43.73259704240801,0.2628584312629343
1.5,36.02931,22.464700000000004,-2.3687999999999967,0.20639999999999872,80.0,43.97069,43.697050000000004,0.2736399999999932
1.51,36.25383859512694,22.441022610672004,-2.3666488511999977,0.22380863999999928,80.2,43.94616140487306,43.661533916008004,0.2846274888650555
1.52,36.478130526814205,22.417367601152,-2.364324249599997,0.24109055999999918,80.4,43.9218694731858,43.626051401728006,0.29581807145779493
1.53,36.702186027511395,22.393736699632004,-2.3618274623999964,0.2582457599999989,80.6,43.8978139724886,43.59060504944801,0.3072089230405908
1.54,36.92600534688666,22.370131621632005,-2.359159756799997,0.2752742399999997,80.8,43.873994653113336,43.55519743244801,0.31879722066532423
1.55,37.1495887517,22.346554070000003,-2.3563223999999976,0.2921759999999995,81.0,43.8504112483,43.51983110500001,0.33058014329998997
1.56,37.37293652567654,22.323005734912005,-2.3533166591999977,0.308951039999999,81.2,43.82706347432346,43.48450860236801,0.34255487195544987
1.57,37.59604896937981,22.299488293872002,-2.350143801599997,0.3255993599999992,81.4,43.8039510306202,43.449232440808004,0.35471858981219384
1.58,37.818926400085,22.276003411712004,-2.3468050943999974,0.3421209599999993,81.6,43.781073599915,43.41400511756801,0.36706848234698697
1.59,38.04156915165226,22.252552740592,-2.3433018047999967,0.35851583999999914,81.8,43.758430848347736,43.378829110888006,0.3796017374597298
1.6,38.2639775744,22.229137920000007,-2.339635199999997,0.37478399999999873,82.0,43.7360224256,43.34370688000001,0.3923155455999847
1.61,38.48615203497815,22.205760576752006,-2.3358065471999976,0.39092543999999907,82.2,43.713847965021856,43.30864086512801,0.4052070998938433
1.62,38.70809291624141,22.182422324992004,-2.3318171135999974,0.4069401599999983,82.4,43.69190708375859,43.273633487488006,0.4182735962705877
