t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.39,7.7999999999657454,1.93897606349066e-05,3.5442457264228392e-06,-2.1904822742914896e-05,-5.291461917190041e-06,5.291461917190041e-06,-7.983701711641204e-07,-6.888202259518282e-06,-0.0004380964548582979
0.4,7.999999999964568,2.007593642460467e-05,3.3136884300331684e-06,-2.419898905394287e-05,-5.428462595837706e-06,5.428462595837704e-06,-5.678128747744496e-07,-6.564088345386605e-06,-0.0004839797810788574
0.41000000000000003,8.19999999996355,2.0713764805796517e-05,3.061061293284337e-06,-2.631937011859985e-05,-5.4901127972008196e-06,5.4901127972008196e-06,-1.8017039412165548e-07,-5.8504535854441305e-06,-0.0005263874023719971
0.42,8.399999999962692,2.1299056119313397e-05,2.788858779441366e-06,-2.811514652509155e-05,-5.477977828161787e-06,5.477977828161787e-06,2.3368613790208372e-07,-5.01060555235762e-06,-0.000562302930501831
0.43,8.599999999961991,2.1828234485477962e-05,2.500545442058044e-06,-2.9542762071267957e-05,-5.387785299737532e-06,5.387785299737532e-06,6.706185865238473e-07,-4.046548126689838e-06,-0.0005908552414253591
0.44,8.799999999961438,2.22984599367548e-05,2.2000130888054184e-06,-3.056031661543864e-05,-5.215981611811945e-06,5.2159816118119455e-06,1.1270776095729608e-06,-2.961826392666023e-06,-0.0006112063323087727
0.45,8.999999999961018,2.270771201903228e-05,1.8915613234140312e-06,-3.112814364172227e-05,-4.9598155544141125e-06,4.9598155544141125e-06,1.435529374964348e-06,-2.0887568044854166e-06,-0.0006225628728344455
0.46,9.199999999960715,2.3054825515023283e-05,1.579222250257e-06,-3.133896821720238e-05,-4.608792204855837e-06,4.608792204855837e-06,1.911461977509249e-06,-7.858682498373385e-07,-0.0006267793643440476
0.47000000000000003,9.399999999960512,2.3339434620158745e-05,1.2673843660768854e-06,-3.102963974877708e-05,-4.169518860410801e-06,4.169518860410801e-06,2.3949372219005853e-06,6.203555833903699e-07,-0.0006205927949755417
0.48,9.599999999960387,2.356216998407636e-05,9.61402830685668e-07,-3.0169534444638503e-05,-3.6417822375380805e-06,3.6417822375380805e-06,2.8809954492916393e-06,2.120208661045198e-06,-0.0006033906888927701
0.49,9.79999999996032,2.3724762421363017e-05,6.669167164464188e-07,-2.8732478751741927e-05,-3.026448470064541e-06,3.0264484700645416e-06,3.364412538947903e-06,3.702376607831265e-06,-0.0005746495750348385
0.5,9.999999999960293,2.383009505997291e-05,3.898017526126001e-07,-2.6697298180941783e-05,-2.325515257597012e-06,2.325515257597012e-06,3.6415275027817223e-06,4.957539747966433e-06,-0.0005339459636188356
0.51,10.199999999960285,2.3882192904665653e-05,1.3533010088209267e-07,-2.4205338978294195e-05,-1.5317031301447975e-06,1.5317031301447973e-06,4.094219759882957e-06,6.656736389621117e-06,-0.0004841067795658839
