s_m,t_s,speed_mps,road_limit_mps,traffic_limit_mps,combined_limit_mps,admissible_speed_mps,accel_mps2,x_m,y_m
197.0,7.880000000000006,25.0,inf,25.0,25.0,25.0,0.0,197.0,0.0
198.0,7.920000000000006,25.0,inf,25.0,25.0,25.0,0.0,198.0,0.0
199.0,7.960000000000006,25.0,inf,25.0,25.0,25.0,0.0,199.0,0.0
200.0,8.000000000000005,25.0,inf,25.0,25.0,25.0,0.0,200.0,0.0
201.0,8.040000000000004,25.0,inf,25.0,25.0,25.0,0.0,201.0,0.0
202.0,8.080000000000004,25.0,inf,25.0,25.0,25.0,0.0,202.0,0.0
203.0,8.120000000000003,25.0,inf,25.0,25.0,25.0,0.0,203.0,0.0
204.0,8.160000000000002,25.0,inf,25.0,25.0,25.0,0.0,204.0,0.0
205.0,8.200000000000001,25.0,inf,25.0,25.0,25.0,0.0,205.0,0.0
206.0,8.24,25.0,inf,25.0,25.0,25.0,0.0,206.0,0.0
207.0,8.28,25.0,inf,25.0,25.0,25.0,0.0,207.0,0.0
208.0,8.319999999999999,25.0,inf,25.0,25.0,25.0,0.0,208.0,0.0
209.0,8.359999999999998,25.0,inf,25.0,25.0,25.0,0.0,209.0,0.0
210.0,8.399999999999997,25.0,inf,25.0,25.0,25.0,0.0,210.0,0.0
211.0,8.439999999999996,25.0,inf,25.0,25.0,25.0,0.0,211.0,0.0
212.0,8.479999999999995,25.0,inf,25.0,25.0,25.0,0.0,212.0,0.0
213.0,8.519999999999994,25.0,inf,25.0,25.0,25.0,0.0,213.0,0.0
214.0,8.559999999999993,25.0,inf,25.0,25.0,25.0,0.0,214.0,0.0
215.0,8.599999999999993,25.0,inf,25.0,25.0,25.0,0.0,215.0,0.0
216.0,8.639999999999992,25.0,inf,25.0,25.0,25.0,0.0,216.0,0.0
217.0,8.67999999999999,25.0,inf,25.0,25.0,25.0,0.0,217.0,0.0
218.0,8.71999999999999,25.0,inf,25.0,25.0,25.0,0.0,218.0,0.0
219.0,8.75999999999999,25.0,inf,25.0,25.0,25.0,0.0,219.0,0.0
220.0,8.799999999999988,25.0,inf,25.0,25.0,25.0,0.0,220.0,0.0
221.0,8.839999999999987,25.0,inf,25.0,25.0,25.0,0.0,221.0,0.0
222.0,8.879999999999987,25.0,inf,25.0,25.0,25.0,0.0,222.0,0.0
223.0,8.919999999999986,25.0,inf,25.0,25.0,25.0,0.0,223.0,0.0
224.0,8.959999999999985,25.0,inf,25.0,25.0,25.0,0.0,224.0,0.0
225.0,8.999999999999984,25.0,inf,25.0,25.0,25.0,0.0,225.0,0.0
226.0,9.039999999999983,25.0,inf,25.0,25.0,25.0,0.0,226.0,0.0
227.0,9.079999999999982,25.0,inf,25.0,25.0,25.0,0.0,227.0,0.0
228.0,9.119999999999981,25.0,inf,25.0,25.0,25.0,0.0,228.0,0.0
229.0,9.15999999999998,25.0,inf,25.0,25.0,25.0,0.0,229.0,0.0
230.0,9.19999999999998,25.0,inf,25.0,25.0,25.0,0.0,230.0,0.0
231.0,9.239999999999979,25.0,inf,25.0,25.0,25.0,0.0,231.0,0.0
232.0,9.279999999999978,25.0,inf,25.0,25.0,25.0,0.0,232.0,0.0
233.0,9.319999999999977,25.0,inf,25.0,25.0,25.0,0.0,233.0,0.0
234.0,9.359999999999976,25.0,inf,25.0,25.0,25.0,0.0,234.0,0.0
235.0,9.399999999999975,25.0,inf,25.0,25.0,25.0,0.0,235.0,0.0
236.0,9.439999999999975,25.0,inf,25.0,25.0,25.0,0.0,236.0,0.0
237.0,9.479999999999974,25.0,inf,25.0,25.0,25.0,0.0,237.0,0.0
238.0,9.519999999999973,25.0,inf,25.0,25.0,25.0,0.0,238.0,0.0
239.0,9.559999999999972,25.0,inf,25.0,25.0,25.0,0.0,239.0,0.0
240.0,9.599999999999971,25.0,inf,25.0,25.0,25.0,0.0,240.0,0.0
241.0,9.63999999999997,25.0,inf,25.0,25.0,25.0,0.0,241.0,0.0
242.0,9.67999999999997,25.0,inf,25.0,25.0,25.0,0.0,242.0,0.0
243.0,9.719999999999969,25.0,inf,25.0,25.0,25.0,0.0,243.0,0.0
244.0,9.759999999999968,25.0,inf,25.0,25.0,25.0,0.0,244.0,0.0
245.0,9.799999999999967,25.0,inf,25.0,25.0,25.0,0.0,245.0,0.0
246.0,9.839999999999966,25.0,inf,25.0,25.0,25.0,0.0,246.0,0.0
247.0,9.879999999999965,25.0,inf,25.0,25.0,25.0,0.0,247.0,0.0
248.0,9.919999999999964,25.0,inf,25.0,25.0,25.0,0.0,248.0,0.0
249.0,9.959999999999964,25.0,inf,25.0,25.0,25.0,0.0,249.0,0.0
250.0,9.999999999999963,25.0,inf,25.0,25.0,25.0,0.0,250.0,0.0
251.0,10.039999999999962,25.0,inf,25.0,25.0,25.0,0.0,251.0,0.0
252.0,10.079999999999961,25.0,inf,25.0,25.0,25.0,0.0,252.0,0.0
253.0,10.11999999999996,25.0,inf,25.0,25.0,25.0,0.0,253.0,0.0
254.0,10.15999999999996,25.0,inf,25.0,25.0,25.0,0.0,254.0,0.0
255.0,10.199999999999958,25.0,inf,25.0,25.0,25.0,0.0,255.0,0.0
256.0,10.239999999999958,25.0,inf,25.0,25.0,25.0,0.0,256.0,0.0
257.0,10.279999999999957,25.0,inf,25.0,25.0,25.0,0.0,257.0,0.0
258.0,10.319999999999956,25.0,inf,25.0,25.0,25.0,0.0,258.0,0.0
259.0,10.359999999999955,25.0,inf,25.0,25.0,25.0,0.0,259.0,0.0
260.0,10.399999999999954,25.0,inf,25.0,25.0,25.0,0.0,260.0,0.0
261.0,10.439999999999953,25.0,inf,25.0,25.0,25.0,0.0,261.0,0.0
262.0,10.479999999999952,25.0,inf,25.0,25.0,25.0,0.0,262.0,0.0
263.0,10.519999999999952,25.0,inf,25.0,25.0,25.0,0.0,263.0,0.0
264.0,10.55999999999995,25.0,inf,25.0,25.0,25.0,0.0,264.0,0.0
265.0,10.59999999999995,25.0,inf,25.0,25.0,25.0,0.0,265.0,0.0
266.0,10.639999999999949,25.0,inf,25.0,25.0,25.0,0.0,266.0,0.0
267.0,10.679999999999948,25.0,inf,25.0,25.0,25.0,0.0,267.0,0.0
268.0,10.719999999999947,25.0,inf,25.0,25.0,25.0,0.0,268.0,0.0
269.0,10.759999999999946,25.0,inf,25.0,25.0,25.0,0.0,269.0,0.0
270.0,10.799999999999946,25.0,inf,25.0,25.0,25.0,0.0,270.0,0.0
271.0,10.839999999999945,25.0,inf,25.0,25.0,25.0,0.0,271.0,0.0
