t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.7000000000000001,13.999999999935786,3.362278177393586e-05,6.664481801000913e-06,2.5527738231930943e-05,1.2728958015754347e-05,1.2728958015754347e-05,2.024730541430035e-06,4.176750663017613e-06,0.0005105547646386189
0.71,14.199999999931167,3.4981590653948524e-05,6.925521432663959e-06,2.6676359233811877e-05,1.3193440138227211e-05,1.3193440138227211e-05,2.1909335801974636e-06,4.513801561777199e-06,0.0005335271846762375
0.72,14.39999999992618,3.639379317752767e-05,7.198602804419824e-06,2.793571711501103e-05,1.3671766012549881e-05,1.3671766012549883e-05,2.3661015113003682e-06,4.868920682726235e-06,0.0005587143423002206
0.73,14.599999999920792,3.786191009206717e-05,7.484858181568515e-06,2.9310774633804142e-05,1.4163618834187523e-05,1.4163618834187523e-05,2.5501348656198385e-06,5.241905919581552e-06,0.0005862154926760828
0.74,14.799999999914963,3.938869350104677e-05,7.785468562477647e-06,3.08063162398185e-05,1.4668504620481232e-05,1.4668504620481232e-05,2.742936204029653e-06,5.6325574542641185e-06,0.00061612632479637
0.75,14.999999999908654,4.097713643382328e-05,8.101661917754592e-06,3.242695251097026e-05,1.5185742640988887e-05,1.5185742640988887e-05,2.4267428487527086e-06,5.005343123915306e-06,0.0006485390502194053
0.76,15.19999999990182,4.263034471326912e-05,8.43265453952075e-06,3.376710451700407e-05,1.5741749622474558e-05,1.5741749622474558e-05,2.6134217658950567e-06,5.384261028014859e-06,0.0006753420903400814
0.77,15.399999999894417,4.4351133049172126e-05,8.777668363944812e-06,3.523078127936189e-05,1.6311645158344517e-05,1.631164515834452e-05,2.811532013895429e-06,5.786180479374304e-06,0.0007046156255872378
0.78,15.599999999886395,4.61424314389776e-05,9.137972065993133e-06,3.6824646067014976e-05,1.6895169639148662e-05,1.689516963914866e-05,3.021056264256915e-06,6.211064224905317e-06,0.0007364929213402995
0.79,15.799999999877699,4.800743022925113e-05,9.5149002174029e-06,3.855521545415757e-05,1.7491868749040668e-05,1.7491868749040665e-05,3.241972799732445e-06,6.658864286955297e-06,0.0007711043090831514
0.8,15.999999999868267,4.994959314788823e-05,9.909851812999681e-06,4.042885797774613e-05,1.8101080433799163e-05,1.8101080433799163e-05,2.8470212041356628e-06,5.875053212609317e-06,0.0008085771595549225
0.81,16.199999999858036,5.197250361406636e-05,1.0321796488841092e-05,4.1954989911107036e-05,1.8754992333582063e-05,1.8754992333582063e-05,3.062315342297495e-06,6.312180607930811e-06,0.0008390997982221408
