t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.64,12.799999999880267,3.8843588770618536e-05,1.0949619148857693e-05,4.947479098317214e-05,-2.0233508592533244e-06,2.0233508592533244e-06,-3.7783201157099992e-06,7.2721133809166684e-06,0.0009894958196634428
0.65,12.99999999986772,4.108362397558807e-05,1.1453900147926763e-05,5.1375074337400664e-05,-2.8291262576379933e-06,2.8291262576379933e-06,-4.282601114779069e-06,7.543809164121803e-06,0.0010275014867480133
0.66,13.199999999853995,4.342643910347989e-05,1.1977534999793006e-05,5.33453282993169e-05,-3.667159664220032e-06,3.6671596642200317e-06,-4.453626392791733e-06,7.829428347956655e-06,0.001066906565986338
0.67,13.399999999838993,4.587597627849298e-05,1.2521244121970513e-05,5.538968139414455e-05,-4.556423094329192e-06,4.556423094329192e-06,-4.627388690927568e-06,8.125388515265557e-06,0.001107793627882891
0.68,13.599999999822602,4.843632533420104e-05,1.3085781689804099e-05,5.751076166458361e-05,-5.4991874164070416e-06,5.499187416407042e-06,-4.803789783382182e-06,8.432015131672513e-06,0.0011502152332916722
0.6900000000000001,13.799999999804704,5.111172959303504e-05,1.3671928544617979e-05,5.9711274007624856e-05,-6.497832272287924e-06,6.497832272287925e-06,-4.982716202187032e-06,8.749640539741843e-06,0.0011942254801524971
0.7000000000000001,13.999999999785173,5.390659127673594e-05,1.428049296828688e-05,6.19940013761838e-05,-7.554851487588707e-06,7.5548514875887076e-06,-5.591280625855933e-06,9.078603865430785e-06,0.001239880027523676
0.71,14.199999999763868,5.682547707290282e-05,1.4912311469518253e-05,6.436180591989332e-05,-8.650446281344535e-06,8.650446281344535e-06,-5.79585645665683e-06,9.424451416748587e-06,0.0012872361183978664
0.72,14.399999999740645,5.987312454985039e-05,1.5568259913234494e-05,6.681968959916028e-05,-9.80756536047344e-06,9.80756536047344e-06,-6.003555597514302e-06,9.782843877643036e-06,0.0013363937919832058
0.73,14.59999999971534,6.305445084197566e-05,1.6249255066020124e-05,6.937083684464624e-05,-1.1028921916514228e-05,1.1028921916514228e-05,-6.21426201883177e-06,1.015417502860778e-05,0.0013874167368929248
0.74,14.799999999687778,6.637455965254116e-05,1.69562460047724e-05,7.20185249785848e-05,-1.2317361531909415e-05,1.2317361531909415e-05,-6.427841238265098e-06,1.0538846955979317e-05,0.001440370499571696
0.75,14.999999999657772,6.983874780911474e-05,1.7690215052890966e-05,7.476612566473939e-05,-1.367586873534433e-05,1.367586873534433e-05,-7.161810286383665e-06,1.0937269944960156e-05,0.0014953225132947879
0.76,15.199999999625119,7.34525120076734e-05,1.845217873061056e-05,7.761710628728427e-05,-1.508041767310579e-05,1.5080417673105789e-05,-7.406102425194755e-06,1.135616017709916e-05,0.0015523421257456855
0.77,15.3999999995896,7.722155658363806e-05,1.924320123083103e-05,8.0577525357683e-05,-1.6558778377446597e-05,1.6558778377446597e-05,-7.654000852990787e-06,1.1790261911180056e-05,0.00161155050715366
0.78,15.599999999550977,8.11518040320709e-05,2.006439628797825e-05,8.365124000786058e-05,-1.811420295543504e-05,1.8114202955435044e-05,-7.905367957728202e-06,1.2240051471061376e-05,0.0016730248001572117
0.79,15.799999999508996,8.52494034896574e-05,2.0916916770971215e-05,8.68422196302992e-05,-1.975010451303876e-05,1.9750104513038756e-05,-8.160043753835871e-06,1.270601520823941e-05,0.001736844392605984
0.8,15.999999999463379,8.952073867445119e-05,2.180195581459825e-05,9.01545476263409e-05,-2.1470065094709075e-05,2.1470065094709075e-05,-9.045082797462905e-06,1.3188649383419415e-05,0.001803090952526818
0.81,16.199999999413826,9.397243605361505e-05,2.2720747967967303e-05,9.359242307297056e-05,-2.3244940108150157e-05,2.324494010815016e-05,-9.336636136828714e-06,1.369608579926152e-05,0.0018718484614594112
0.8200000000000001,16.39999999936002,9.861137425417501e-05,2.367458550955727e-05,9.716318230949524e-05,-2.5108344237111195e-05,2.5108344237111195e-05,-9.6323956388144e-06,1.4221959332104642e-05,0.0019432636461899047
0.8300000000000001,16.59999999930161,0.00010344469680208738,2.4664820706669277e-05,0.00010087149564811309,-2.7064185471708013e-05,2.7064185471708013e-05,-9.932197437837746e-06,1.476684599562487e-05,0.0020174299129622616
0.84,16.799999999238217,0.00010847982239251814,2.569285321017874e-05,0.00010472216903934405,-2.911656743874212e-05,2.911656743874212e-05,-1.023585053427694e-05,1.5331333903213424e-05,0.002094443380786881
