t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.49,9.799999999985417,1.343210761895796e-05,3.3384496018876693e-06,9.450516667964437e-06,7.26620633235805e-06,7.266206332358049e-06,6.928796535066531e-07,1.3857665732196387e-06,0.00018901033335928872
0.5,9.99999999998427,1.410936921260698e-05,3.434769134386475e-06,9.812184232254681e-06,7.395210589786593e-06,7.395210589786593e-06,5.965601210078473e-07,1.1931276372262845e-06,0.00019624368464509363
0.51,10.199999999983056,1.4806228424492919e-05,3.5342866934824692e-06,1.0090400168953207e-05,7.544261350043069e-06,7.544261350043068e-06,6.95263167282581e-07,1.390533878826512e-06,0.00020180800337906416
0.52,10.399999999981771,1.5523293707863633e-05,3.6369509684620786e-06,1.0441285170524593e-05,7.704301087457046e-06,7.704301087457047e-06,8.005658832606603e-07,1.601139470822408e-06,0.00020882570341049188
0.53,10.59999999998041,1.6261268344036396e-05,3.743507654860767e-06,1.086862758605618e-05,7.875649080347969e-06,7.875649080347969e-06,9.122017841887057e-07,1.8244114440264919e-06,0.0002173725517211236
0.54,10.799999999978967,1.702100844594803e-05,3.854738896515251e-06,1.137592968035781e-05,8.05849691396803e-06,8.05849691396803e-06,1.0298914972769248e-06,2.0597910530507633e-06,0.0002275185936071562
0.55,10.999999999977437,1.7803529960208935e-05,3.971460401928946e-06,1.1966403090750726e-05,8.252901478463543e-06,8.252901478463543e-06,9.131699918632299e-07,1.8263482366279382e-06,0.00023932806181501453
0.56,11.19999999997581,1.8609951362075515e-05,4.093564197161412e-06,1.245273479493697e-05,8.471441518246159e-06,8.47144151824616e-06,1.0312430111724346e-06,2.0624944937863875e-06,0.0002490546958987394
0.5700000000000001,11.399999999974083,1.9441307957429044e-05,4.220952158505991e-06,1.3022956669762369e-05,8.702844278903524e-06,8.702844278903524e-06,1.1558411455881728e-06,2.3116909940206244e-06,0.00026045913339524737
0.58,11.599999999972242,2.0298741644523333e-05,4.354480781652082e-06,1.3680575821078427e-05,8.94720685357973e-06,8.94720685357973e-06,1.2866885321849888e-06,2.573386011576831e-06,0.00027361151642156853
0.59,11.799999999970286,2.118356903139653e-05,4.4950401888314525e-06,1.4428811411350417e-05,9.204482084714219e-06,9.204482084714219e-06,1.4235042303250094e-06,2.8470176651321037e-06,0.00028857622822700833
