t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.7000000000000001,13.999999999915099,3.8533432437992857e-05,8.368180777182278e-06,2.97706101074251e-05,7.818307351702977e-06,7.818307351702976e-06,3.210315652486694e-07,1.6833408997603769e-06,0.000595412202148502
0.71,14.199999999907842,4.023686504836177e-05,8.666273914560738e-06,2.984776019257232e-05,7.938165743819717e-06,7.938165743819717e-06,4.5018109830068503e-07,2.3302871489416223e-06,0.0005969552038514464
0.72,14.39999999990007,4.200007875272946e-05,8.966416198636505e-06,3.0179590483997436e-05,8.065480437354788e-06,8.065480437354788e-06,5.982881170836867e-07,3.072095389791981e-06,0.0006035918096799487
0.73,14.599999999891754,4.382374895628699e-05,9.271317597870513e-06,3.079862584144621e-05,8.201779969976479e-06,8.201779969976479e-06,7.6367544931784e-07,3.9003950462889644e-06,0.0006159725168289243
0.74,14.799999999882866,4.570912425653267e-05,9.583993468307604e-06,3.173343211908762e-05,8.348073865007701e-06,8.348073865007701e-06,9.444112981996964e-07,4.805537229648559e-06,0.0006346686423817524
0.75,14.999999999873369,4.7658083418455164e-05,9.907722817128595e-06,3.300818831330506e-05,8.504795656355799e-06,8.504795656355799e-06,6.206819493787054e-07,3.188457703457085e-06,0.0006601637662661012
0.76,15.19999999986322,4.967284021789962e-05,1.0240860392063278e-05,3.361729624481853e-05,8.699254117847327e-06,8.699254117847327e-06,8.052159133525283e-07,4.113072107941115e-06,0.0006723459248963706
0.77,15.399999999852382,5.1754952265354033e-05,1.0581865501819408e-05,3.458051486848272e-05,8.907825942172665e-06,8.907825942172665e-06,1.0073348760208332e-06,5.125752639525892e-06,0.0006916102973696543
0.78,15.59999999984081,5.390635651297978e-05,1.0934419041052951e-05,3.592570884582599e-05,9.131244565166151e-06,9.131244565166151e-06,1.2246092891970972e-06,6.214358891637148e-06,0.0007185141769165198
0.79,15.79999999982845,5.6129752161068e-05,1.1302453663302142e-05,3.767538315798247e-05,9.369546817256444e-06,9.369546817256446e-06,1.4544193538332022e-06,7.365792237338575e-06,0.0007535076631596494
0.8,15.999999999815238,5.842864555856431e-05,1.1690098812867992e-05,3.9846409753786204e-05,9.62202802313649e-06,9.62202802313649e-06,1.066774204267352e-06,5.430091301568126e-06,0.000796928195075724
0.81,16.199999999801097,6.0806967808430266e-05,1.2095392844274147e-05,4.1207858211601143e-05,9.92052813924736e-06,9.92052813924736e-06,1.2887189868644404e-06,6.5428002157146755e-06,0.0008241571642320229
0.8200000000000001,16.399999999785955,6.32678489014704e-05,1.2516376774396847e-05,4.2983010437641614e-05,1.0235181118089889e-05,1.0235181118089889e-05,1.5258130963460256e-06,7.731417292911027e-06,0.0008596602087528322
0.8300000000000001,16.599999999769736,6.58148478474435e-05,1.2957297354242825e-05,4.519373619511407e-05,1.0565663485748831e-05,1.0565663485748831e-05,1.775325914588707e-06,8.982286207801023e-06,0.0009038747239022815
0.84,16.79999999975234,6.845239291926416e-05,1.3422590728504703e-05,4.7856063929710684e-05,1.0910862037677032e-05,1.0910862037677032e-05,2.034411947397099e-06,1.0281168357362265e-05,0.0009571212785942137
0.85,16.99999999973366,7.118581365192103e-05,1.3916823445812429e-05,5.098006583804014e-05,1.126884184011518e-05,1.126884184011518e-05,1.5401792300893731e-06,7.813584568848017e-06,0.0010196013167608029
0.86,17.199999999713565,7.402085684127599e-05,1.4437083423301783e-05,5.306497971060064e-05,1.167719803752958e-05,1.1677198037529579e-05,1.7799135127114132e-06,9.016339543932362e-06,0.0010612995942120129
0.87,17.399999999691936,7.696218267555497e-05,1.4980374984523186e-05,5.5584932405730785e-05,1.209887558681523e-05,1.209887558681523e-05,2.0339819305352725e-06,1.0290898408544515e-05,0.0011116986481146157
0.88,17.599999999668636,8.001483915055068e-05,1.555114795757662e-05,5.8559745823041726e-05,1.2532746756568909e-05,1.2532746756568907e-05,2.299771580512914e-06,1.1624185370130259e-05,0.0011711949164608345
0.89,17.79999999964351,8.318478218336809e-05,1.6154022442403816e-05,6.200367100143945e-05,1.2976872254476368e-05,1.2976872254476368e-05,2.5745895707571263e-06,1.3002716576330395e-05,0.001240073420028789
0.9,17.999999999616378,8.647890407874945e-05,1.6793732844865914e-05,6.592533682704742e-05,1.3428472761577804e-05,1.3428472761577804e-05,1.9348791682950276e-06,9.808680569090917e-06,0.0013185067365409483
0.91,18.19999999958704,8.990443996460335e-05,1.7465924642569745e-05,6.850442545927612e-05,1.3932828129365231e-05,1.3932828129365231e-05,2.1835316294299952e-06,1.1056986428443628e-05,0.0013700885091855225
